subject,trial,practice_index,block_type,main_task,irr_stim,indirect_task,button_label,button_pushed,ACC,RT
01,1,1,1,2,1,2,ans_ver,2,1,941.155
01,2,1,1,1,3,1,ans_hor,1,1,792.927
01,3,1,1,1,2,1,ans_hor,1,1,1026.676
01,4,1,1,2,1,2,ans_ver,2,1,835.79
01,5,1,1,2,2,1,ans_hor,1,1,678.232
01,6,1,1,1,2,2,ans_ver,2,1,721.311
01,7,1,1,2,3,2,ans_ver,1,0,732.469
01,8,1,1,2,3,2,ans_ver,1,0,644.872
01,9,1,1,1,2,2,ans_ver,2,1,787.968
01,10,1,1,2,2,1,ans_hor,1,1,732.378
01,11,1,1,2,2,2,ans_ver,2,1,783.766
01,12,1,1,1,3,1,ans_hor,2,0,704.167
01,13,1,1,2,3,1,ans_hor,1,1,770.593
01,14,1,1,1,2,1,ans_hor,1,1,557.058
01,15,1,1,2,1,1,ans_hor,1,1,830.801
01,16,1,1,2,1,1,ans_hor,1,1,601.046
01,17,1,1,1,2,2,ans_ver,2,1,682.407
01,18,1,1,1,1,2,ans_ver,1,0,706.765
01,19,1,1,1,3,2,ans_ver,2,1,502.651
01,20,1,1,1,1,1,ans_hor,1,1,600.288
01,21,1,2,1,2,1,ans_gap,1,1,742.41
01,22,1,2,2,3,2,ans_gapno,2,1,1144.299
01,23,1,2,1,1,1,ans_gap,2,0,813.992
01,24,1,2,2,1,2,ans_gapno,2,1,987.138
01,25,1,2,2,1,2,ans_gapno,2,1,1631.575
01,26,1,2,2,2,1,ans_gap,1,1,764.056
01,27,1,2,2,1,1,ans_gap,2,0,1343.827
01,28,1,2,1,3,1,ans_gap,1,1,1297.388
01,29,1,2,2,2,1,ans_gap,1,1,944.085
01,30,1,2,1,2,2,ans_gapno,2,1,1036.648
01,31,1,2,2,2,2,ans_gapno,2,1,1195.453
01,32,1,2,1,3,2,ans_gapno,2,1,1856.876
01,33,1,2,1,2,2,ans_gapno,2,1,1667.043
01,34,1,2,1,1,2,ans_gapno,2,1,656.198
01,35,1,2,1,2,2,ans_gapno,1,0,739.307
01,36,1,2,2,3,1,ans_gap,1,1,1192.059
01,37,1,2,1,2,1,ans_gap,1,1,738.869
01,38,1,2,1,3,1,ans_gap,1,1,898.952
01,39,1,2,2,3,2,ans_gapno,2,1,995.902
01,40,1,2,2,1,1,ans_gap,1,1,815.599
